date,value
01/03/2022,100
01/04/2022,101.2914662
01/05/2022,102.3043809
01/06/2022,103.8110914
01/07/2022,103.507217
01/10/2022,102.3930109
01/11/2022,106.0015194
01/12/2022,107.2043555
01/13/2022,106.9511269
01/14/2022,108.9642948
01/17/2022,109.496075
01/18/2022,110.8002026
01/19/2022,111.9777159
01/20/2022,111.9017473
01/21/2022,111.281337
01/24/2022,109.2301849
01/25/2022,111.6738415
01/26/2022,113.9022537
01/27/2022,113.1172449
01/28/2022,113.9908838
01/31/2022,115.4849329
02/01/2022,112.8893391
02/02/2022,113.2818435
02/03/2022,115.3583186
02/04/2022,118.0931881
02/07/2022,117.358825
02/08/2022,114.9404913
02/09/2022,115.9154216
02/10/2022,115.7381616
02/11/2022,119.5745758
02/14/2022,122.1575082
02/15/2022,118.1058496
02/16/2022,120.0430489
02/17/2022,117.7133452
02/18/2022,118.4350468
02/21/2022,120.777412
02/22/2022,122.6133198
02/23/2022,122.6133198
02/24/2022,125.4494809
02/25/2022,123.9934161
02/28/2022,127.8678146
03/01/2022,132.9070651
03/02/2022,142.985566
03/03/2022,139.8581919
03/04/2022,149.5441884
03/07/2022,156.0015194
03/08/2022,162.041023
03/09/2022,140.7191694
03/10/2022,138.42745
03/11/2022,142.6563687
03/14/2022,135.3507217
03/15/2022,126.5003798
03/16/2022,124.107369
03/17/2022,135.0215244
03/18/2022,136.6548493
03/21/2022,146.3914915
03/22/2022,146.2142315
03/23/2022,153.9630286
03/24/2022,150.7090403
03/25/2022,152.7601925
03/28/2022,142.4158015
03/29/2022,139.566979
03/30/2022,143.6439605
03/31/2022,136.6295265
04/01/2022,132.1727019
04/04/2022,136.148392
04/05/2022,135.0215244
04/06/2022,127.9691061
04/07/2022,127.3486959
04/08/2022,130.1342112
04/11/2022,124.6897949
04/12/2022,132.4892378
04/13/2022,137.7310712
04/14/2022,141.4282097
04/15/2022,141.4282097
04/18/2022,143.2767789
04/19/2022,135.7938719
04/20/2022,135.2241074
04/21/2022,137.1613067
04/22/2022,135.0341859
04/25/2022,129.5517853
04/26/2022,132.9323879
04/27/2022,133.3502152
04/28/2022,136.2243606
04/29/2022,138.4401114
05/02/2022,136.2116992
05/03/2022,132.9070651
05/04/2022,139.4530261
05/05/2022,140.415295
05/06/2022,142.3018486
05/09/2022,134.1352241
05/10/2022,129.7290453
05/11/2022,136.1230691
05/12/2022,136.0471005
05/13/2022,141.2382882
05/16/2022,144.6442137
05/17/2022,141.7194226
05/18/2022,138.1488985
05/19/2022,141.8586984
05/20/2022,142.5044315
05/23/2022,143.6059762
05/24/2022,143.7832363
05/25/2022,144.3783236
05/26/2022,148.6452266
05/27/2022,151.2154976
05/30/2022,154.0516586
05/31/2022,155.5330463
06/01/2022,147.2398075
06/02/2022,148.9111167
06/03/2022,151.5826792
06/06/2022,151.3167891
06/07/2022,152.658901
06/08/2022,156.4699924
06/09/2022,155.8242593
06/10/2022,154.4821474
06/13/2022,154.8113446
06/14/2022,153.418587
06/15/2022,150.0506457
06/16/2022,151.6966321
06/17/2022,143.2261332
06/20/2022,144.504938
06/21/2022,145.1633325
06/22/2022,141.4788554
06/23/2022,139.3390732
06/24/2022,143.2261332
06/27/2022,145.7204356
06/28/2022,149.3795898
06/29/2022,147.2018232
06/30/2022,145.3659154
07/01/2022,141.3395796
07/04/2022,143.7072677
07/05/2022,130.1215498
07/06/2022,127.4879716
07/07/2022,132.5018992
07/08/2022,135.5026589
07/11/2022,135.6039504
