date,value
01/01/2020,100
02/01/2020,96.97560976
03/01/2020,92.87804878
04/01/2020,90.24390244
05/01/2020,88.87804878
06/01/2020,91.02439024
07/01/2020,91.70731707
08/01/2020,93.56097561
09/01/2020,95.6097561
10/01/2020,98.92682927
11/01/2020,103.0243902
12/01/2020,105.9512195
01/01/2021,110.7317073
02/01/2021,113.7560976
03/01/2021,116.2926829
04/01/2021,119.1219512
05/01/2021,124.9756098
06/01/2021,122.2439024
07/01/2021,121.5609756
08/01/2021,124.8780488
09/01/2021,126.0487805
10/01/2021,129.9512195
11/01/2021,132
12/01/2021,130.4390244
01/01/2022,132.2926829
02/01/2022,137.6585366
03/01/2022,155.804878
04/01/2022,154.5365854
05/01/2022,154.0487805
06/01/2022,150.4390244
